pdb_id,chains,clusters,release_date
1asq,"['A', 'B']","[15, 15]",19940131
3dni,['A'],[2218],19940131
1huh,['A'],[3571],19940430
1bra,['A'],[812],19940430
1lba,['A'],[313],19940430
1glc,"['F', 'G']","[119, 7703]",19940531
1hpl,['A'],[161],19940531
1enc,['A'],[99],19940531
1cpn,['A'],[9],19940622
1plk,['A'],[2951],19940731
1plj,['A'],[2951],19940731
1pmy,['A'],[3512],19940731
1plb,['A'],[38],19940831
1esl,['A'],[6044],19940831
2bbv,"['A', 'D', 'B', 'E', 'C', 'F']","[919, 919, 919, 3768, 3768, 3768]",19940831
2drp,['A'],[1403],19940831
1lgb,"['A', 'B', 'C']","[318, 913, 914]",19940831
1isc,"['A', 'B']","[510, 510]",19940930
1paa,['A'],[449],19941015
1mng,"['A', 'B']","[510, 510]",19941015
1hld,"['A', 'B']","[1063, 1063]",19941015
1bit,['A'],[812],19941101
1lpb,"['A', 'B']","[161, 326]",19941101
1pkn,['A'],[6135],19950126
1inp,['A'],[8471],19950126
1inw,['A'],[6438],19950207
1rtm,"['1', '2', '3']","[7524, 7524, 7524]",19950207
1ept,"['A', 'B', 'C']","[100, 101, 3099]",19950207
1pvb,['A'],[6196],19950227
1pyi,"['A', 'B']","[471, 472]",19950227
1oxy,['A'],[2466],19950227
1cyg,['A'],[3981],19950227
1ivb,['A'],[6438],19950331
1ive,"['A', 'B']","[6438, 6438]",19950331
1lpm,['A'],[3068],19950420
1aor,"['A', 'B']","[14, 14]",19950420
1tad,"['B', 'C']","[1834, 1834]",19950508
1amy,['A'],[3323],19950513
1clc,['A'],[3562],19950603
1xso,"['A', 'B']","[780, 780]",19950710
1ptr,['A'],[8480],19950731
1ayp,"['A', 'F']","[3272, 3272]",19950731
2chr,['A'],[2058],19950731
1csn,['A'],[5450],19950731
1xyn,['A'],[786],19950808
1smv,"['A', 'B', 'C']","[43, 43, 43]",19950915
1atl,"['A', 'B']","[16, 516]",19951015
1hup,['A'],[7524],19951015
1kap,"['P', 'I']","[285, 2455]",19951015
1ddr,"['A', 'B']","[8451, 8451]",19951015
1dhy,['A'],[74],19951015
1gpc,['A'],[897],19951015
1lan,['A'],[2447],19951015
1gbg,['A'],[2516],19951207
1htb,"['A', 'B']","[1063, 1063]",19951207
1elt,['A'],[812],19960101
1fbl,['A'],[2048],19960129
1btg,"['A', 'B', 'C']","[583, 583, 583]",19960308
1nol,['A'],[2466],19960308
1dot,['A'],[184],19960308
1rdm,"['1', '2']","[7524, 7524]",19960308
1sra,['A'],[591],19960308
1cdo,"['A', 'B']","[1063, 1063]",19960308
1iro,['A'],[3452],19960403
1smp,"['A', 'I']","[589, 2455]",19960403
1lat,"['A', 'B']","[521, 521]",19960403
1dmx,"['A', 'B']","[3571, 3571]",19960403
1mmp,['B'],[10279],19960403
1rtg,['A'],[452],19960610
1gsa,['A'],[165],19960620
1clx,"['C', 'D']","[3338, 3338]",19960620
1lph,"['A', 'B', 'C', 'D']","[5712, 5712, 6747, 6747]",19960620
1adv,"['A', 'B']","[8, 8]",19960620
1mxa,['A'],[4315],19960711
1slv,"['A', 'B']","[433, 812]",19960711
1sch,"['A', 'B']","[574, 575]",19960711
1iml,['A'],[1388],19960711
1igb,['A'],[221],19960801
1mnd,['A'],[8276],19960817
1pft,['A'],[453],19960817
1dvf,"['A', 'B', 'C', 'D']","[8700, 8700, 9029, 9029]",19960817
1thj,"['A', 'B', 'C']","[2671, 2671, 2671]",19961014
1mdl,['A'],[2058],19961014
1noy,"['A', 'B']","[385, 385]",19961014
1lbu,['A'],[315],19961108
1hxp,"['A', 'B']","[5464, 5464]",19961108
1zqz,['A'],[854],19961115
1ypp,"['A', 'B']","[8180, 8180]",19961207
1eth,"['A', 'B', 'C']","[161, 161, 326]",19961207
1taf,['B'],[614],19961207
1slm,['A'],[588],19961217
1fat,"['A', 'B', 'C', 'D']","[73, 73, 73, 73]",19961223
1ubd,['C'],[648],19961223
1pex,['A'],[452],19961223
1qpa,"['A', 'B']","[3498, 3498]",19970111
1del,"['A', 'B']","[71, 71]",19970111
1wad,['A'],[725],19970127
1cpr,['A'],[57],19970127
1pyt,"['A', 'B', 'C', 'D']","[473, 812, 812, 2181]",19970127
1anv,['A'],[8],19970212
1jer,['A'],[970],19970212
1gpl,['A'],[161],19970212
1dth,"['A', 'B']","[516, 516]",19970212
1ngs,"['A', 'B']","[4772, 4772]",19970212
1tco,"['A', 'B', 'C']","[993, 2933, 9094]",19970212
1iov,['A'],[9849],19970212
1aii,['A'],[718],19970312
1mey,['C'],[9993],19970312
1mpm,"['A', 'B', 'C']","[1413, 1413, 1413]",19970312
1uby,['A'],[6253],19970312
1agn,"['B', 'C', 'D']","[1063, 1063, 1063]",19970312
1fic,"['A', 'B']","[1926, 1926]",19970401
4dpv,[],[],19970401
1cvl,['A'],[3839],19970401
2mpr,"['A', 'B', 'C']","[1413, 1413, 1413]",19970401
1tau,['A'],[615],19970418
1jug,['A'],[1122],19970421
1vfd,['A'],[1461],19970421
1srr,['A'],[2847],19970421
2cbp,['A'],[970],19970421
1vsh,['A'],[5104],19970515
1nul,"['A', 'B']","[389, 389]",19970515
1mhy,"['B', 'D', 'G']","[3791, 7812, 7813]",19970515
1juy,['A'],[6462],19970624
1nzy,"['A', 'B', 'C']","[2444, 2444, 2444]",19970707
1af2,['A'],[7032],19970707
1ajj,['A'],[1990],19970707
1nds,['A'],[2380],19970707
1hfx,['A'],[1122],19970707
1dpo,['A'],[812],19970707
1rmd,['A'],[2460],19970723
2mas,"['A', 'B', 'C', 'D']","[2789, 2789, 2789, 2789]",19970812
1aei,"['A', 'B', 'C', 'D', 'E', 'F']","[718, 718, 718, 718, 718, 718]",19970820
1ll1,['A'],[2466],19970820
2hck,"['A', 'B']","[4132, 4132]",19970820
1zip,['A'],[4292],19970820
1iuz,['A'],[38],19970820
1yai,"['B', 'C']","[780, 780]",19970820
1aih,"['C', 'D']","[5164, 5164]",19970820
4tf4,['B'],[5353],19970904
1xer,['A'],[1685],19970904
1lml,['A'],[322],19970917
1nbc,"['A', 'B']","[1764, 1764]",19970926
1fwa,"['A', 'B', 'C']","[134, 135, 136]",19971015
2fib,"['A', 'B']","[335, 1926]",19971015
1bmo,"['A', 'B']","[8457, 8457]",19971015
1fui,"['A', 'B', 'C', 'D', 'E', 'F']","[132, 132, 132, 132, 132, 132]",19971015
1ao0,"['A', 'B', 'C', 'D']","[13, 13, 13, 13]",19971112
1bif,['A'],[5412],19971112
1n2c,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","[4733, 4733, 8106, 8106, 9739, 9739, 9739, 9739]",19971112
1bgp,['A'],[575],19971112
1ycs,"['A', 'B']","[806, 3410]",19971119
1htn,['A'],[7524],19971203
1bfv,['H'],[8700],19971203
1blf,['A'],[184],19971203
1ak0,['A'],[11],19971203
1joi,['A'],[2029],19971210
1pcs,['A'],[38],19971217
1dhk,"['A', 'B']","[73, 9709]",19971224
1qyp,['A'],[520],19971224
4tss,['A'],[4614],19971224
1cg2,"['A', 'B', 'C', 'D']","[8562, 8562, 8562, 8562]",19971224
1ag9,"['A', 'B']","[2280, 2280]",19971224
13pk,['A'],[851],19971224
5bir,['B'],[5354],19971231
1ir3,"['A', 'B']","[228, 6166]",19980107
1nwp,['B'],[2029],19980128
1f3z,['A'],[119],19980128
1mrp,['A'],[10092],19980128
1avc,['A'],[19],19980128
1atj,"['A', 'B', 'C', 'D', 'E', 'F']","[575, 575, 575, 575, 575, 575]",19980204
1fsu,['A'],[18],19980204
1rlw,['A'],[6895],19980225
1cm4,"['A', 'B']","[54, 7712]",19980304
1auk,['A'],[18],19980304
1avm,"['A', 'B']","[510, 510]",19980318
1a0t,"['P', 'Q', 'R']","[1, 1, 1]",19980318
1ips,"['A', 'B']","[226, 226]",19980325
1af0,['A'],[2455],19980325
2tn4,['A'],[7712],19980408
1ecb,"['A', 'B']","[13, 13]",19980415
1sbe,['A'],[73],19980422
1a4c,"['A', 'C']","[2029, 2029]",19980429
1a2q,['A'],[3295],19980429
1e2a,"['A', 'B', 'C']","[86, 86, 86]",19980429
1a4a,['A'],[2029],19980429
1tn3,['A'],[7524],19980506
1axz,['A'],[73],19980506
1ixx,"['A', 'B', 'C', 'D', 'E', 'F']","[7524, 7524, 7524, 7524, 7524, 7524]",19980506
1ajo,['B'],[10],19980506
1a25,"['A', 'B']","[5652, 5652]",19980506
1ajk,['B'],[9],19980506
1rkr,"['A', 'B']","[2029, 2029]",19980520
1a6q,[],[],19980527
1a5t,['A'],[3],19980527
1a3w,"['A', 'B']","[6135, 6135]",19980527
1sgf,"['A', 'B', 'G', 'X', 'Y', 'Z']","[583, 583, 812, 812, 812, 812]",19980527
1a3x,['A'],[6135],19980527
1a0d,"['A', 'B', 'C', 'D']","[6919, 6919, 6919, 6919]",19980603
1a0e,"['A', 'D']","[6919, 6919]",19980603
1a0c,"['A', 'B', 'C', 'D']","[6919, 6919, 6919, 6919]",19980603
1hkb,['A'],[194],19980603
1a1j,['A'],[9993],19980617
1a8a,['A'],[718],19980617
1au1,"['A', 'B']","[17, 17]",19980617
1a05,"['A', 'B']","[9959, 9959]",19980617
1a75,['B'],[6196],19980617
2a0b,['A'],[869],19980617
2rap,['A'],[2951],19980617
1a47,['A'],[3981],19980617
1jdb,"['B', 'C', 'E', 'F', 'H', 'I', 'K', 'L']","[245, 245, 245, 245, 246, 246, 246, 246]",19980617
1rp1,['A'],[161],19980617
1eso,['A'],[780],19980701
1amu,"['B', 'A']","[12, 3612]",19980701
1tf6,['D'],[618],19980710
1a2x,"['A', 'B']","[2, 7712]",19980715
1bk4,['A'],[8637],19980722
1bf2,['A'],[30],19980812
4lip,['E'],[3839],19980819
1fzd,"['A', 'B', 'C', 'D']","[4161, 4161, 4161, 4161]",19980819
1bqp,"['A', 'B', 'C', 'D']","[913, 913, 914, 914]",19980826
1br1,"['E', 'F']","[7712, 8276]",19980909
1br2,['E'],[8276],19980909
1zme,"['C', 'D']","[850, 850]",19980916
1rdr,['A'],[540],19980916
1bvn,"['P', 'T']","[36, 9709]",19980923
1bvi,"['A', 'B', 'C', 'D']","[5354, 5354, 5354, 5354]",19980923
2bmi,"['A', 'B']","[4890, 4890]",19980923
1bl3,"['A', 'B', 'C']","[32, 32, 32]",19980930
1sxz,"['A', 'B']","[780, 780]",19980930
1dfx,['A'],[705],19981014
6cgt,['A'],[3981],19981014
1bc2,"['A', 'B']","[4890, 4890]",19981014
1fdk,['A'],[3272],19981014
1bnl,['C'],[33],19981014
1qpr,"['E', 'F']","[512, 512]",19981021
1jae,['A'],[9709],19981104
1bho,"['1', '2']","[781, 781]",19981104
1bh6,['A'],[3295],19981104
2kfn,['A'],[4242],19981111
1rxr,['A'],[521],19981111
4aig,['A'],[516],19981111
1bzx,"['E', 'I']","[812, 1621]",19981111
2shk,"['A', 'B']","[1646, 1646]",19981118
1shk,"['A', 'B']","[1646, 1646]",19981118
1ayo,"['A', 'B']","[21, 21]",19981125
1b23,"['P', 'R']","[24, 7607]",19981207
1lu1,['A'],[73],19981209
1kop,"['A', 'B']","[3571, 3571]",19981209
1wej,"['L', 'H']","[6078, 6531]",19981209
1usn,['A'],[10279],19981223
1nub,['A'],[8457],19981230
1bt0,['A'],[6524],19981230
1bk5,"['A', 'B']","[31, 31]",19990106
1bqb,['A'],[3800],19990113
1r2f,"['A', 'B']","[939, 939]",19990113
3kvt,['A'],[2670],19990113
1dam,['A'],[67],19990113
2phk,"['A', 'B']","[1527, 2999]",19990113
1aye,['A'],[5414],19990113
1nft,['A'],[1461],19990113
1b0n,"['A', 'B']","[22, 23]",19990113
3bam,"['A', 'B']","[2889, 2889]",19990113
1a0j,"['A', 'B', 'C', 'D']","[812, 812, 812, 812]",19990113
1bs1,['A'],[67],19990113
1brw,"['A', 'B']","[35, 35]",19990113
2prn,['A'],[1543],19990113
1b8a,"['A', 'B']","[2641, 2641]",19990202
2aps,"['A', 'B']","[780, 780]",19990225
1bk9,['A'],[3272],19990302
1b9z,['A'],[29],19990315
1ncj,['A'],[5948],19990318
3znc,['A'],[3571],19990323
1a7w,['A'],[5],19990323
1a6f,['A'],[4],19990323
1a6e,"['A', 'B']","[482, 482]",19990323
1xkb,"['A', 'C', 'B']","[768, 812, 9705]",19990323
1egz,['B'],[2984],19990326
1a65,['A'],[675],19990330
1a8l,['A'],[6],19990330
1zbd,"['A', 'B']","[838, 2951]",19990402
1jaw,['A'],[6152],19990406
1qez,"['A', 'B', 'C', 'D', 'E', 'F']","[496, 496, 496, 496, 496, 496]",19990414
3cev,"['D', 'E', 'F', 'A', 'B', 'C']","[1054, 1054, 1054, 3082, 3082, 3082]",19990416
3rab,['A'],[2951],19990416
4cev,"['A', 'B', 'C', 'D']","[1054, 1054, 1054, 1054]",19990416
5cev,"['A', 'B', 'C', 'D', 'E', 'F']","[1054, 1054, 1054, 5065, 5066, 5067]",19990416
1bob,['A'],[34],19990420
1hfe,"['S', 'L', 'T', 'M']","[190, 190, 191, 191]",19990420
1mfm,['A'],[780],19990421
2pda,"['A', 'B']","[6505, 6505]",19990423
5pah,['A'],[5913],19990427
1a4v,['A'],[1122],19990427
1b66,"['A', 'B']","[1467, 1467]",19990427
3atj,"['A', 'B']","[575, 575]",19990428
2phm,['A'],[5279],19990430
1cit,['A'],[521],19990503
1a8v,['B'],[7],19990504
1ca1,['A'],[506],19990504
1vfy,['A'],[689],19990506
1qge,"['D', 'E']","[498, 499]",19990506
1qf6,['A'],[7837],19990506
1kdi,['A'],[38],19990511
1axk,"['A', 'B']","[20, 20]",19990511
1b4n,"['A', 'B', 'C', 'D']","[14, 14, 14, 14]",19990518
1glj,"['Y', 'O']","[7703, 7703]",19990518
2cbl,"['A', 'B']","[1850, 2955]",19990518
1rrp,"['A', 'B', 'C', 'D']","[282, 282, 7148, 7148]",19990518
1b2j,['A'],[3452],19990527
2cua,['B'],[8268],19990528
1qbk,"['B', 'C']","[493, 7148]",19990601
1cnz,"['A', 'B']","[9959, 9959]",19990601
1ibr,"['A', 'B']","[218, 7148]",19990603
7mdh,"['A', 'B']","[8570, 8570]",19990604
1gnf,['A'],[1357],19990608
1ckl,['E'],[51],19990611
1qps,['A'],[513],19990614
1coj,['A'],[56],19990614
1bwn,"['A', 'B']","[1920, 1920]",19990615
1bg9,['A'],[3323],19990615
1bxv,['A'],[38],19990615
3mat,"['A', 'I']","[2770, 10121]",19990618
2hgs,['A'],[2629],19990622
3fct,"['A', 'B']","[6078, 6531]",19990623
1cp9,"['A', 'B']","[4386, 7253]",19990624
1ebo,"['D', 'E', 'F']","[92, 92, 92]",19990702
1toa,['B'],[625],19990705
1qb8,['A'],[6067],19990721
1qe3,['A'],[6791],19990721
1bjf,"['A', 'B']","[1154, 1154]",19990722
1bi0,['A'],[8144],19990722
1viw,"['A', 'B']","[73, 9709]",19990722
1tlg,['A'],[624],19990723
1bjj,"['A', 'E']","[3272, 3272]",19990729
1a76,['A'],[1279],19990803
2bow,['A'],[936],19990806
966c,['A'],[10279],19990807
1bu3,['A'],[6196],19990810
1svy,['A'],[4581],19990810
1ci3,['M'],[46],19990811
1qs0,"['A', 'B']","[656, 657]",19990818
1c9k,"['A', 'B', 'C']","[44, 44, 44]",19990818
1qdb,['C'],[7353],19990818
1ck7,['A'],[50],19990825
1bsw,['A'],[516],19990826
1c4g,"['A', 'B']","[8747, 8747]",19990827
1b4u,"['A', 'B', 'C', 'D']","[26, 26, 27, 27]",19990827
1qum,['A'],[9817],19990831
1rk2,"['C', 'D']","[9711, 9711]",19990901
1bug,['B'],[5063],19990902
1c3r,"['A', 'B']","[3411, 3411]",19990915
1c3s,['A'],[3411],19990915
1qh3,"['A', 'B']","[1563, 1563]",19990924
1d2e,"['A', 'B', 'C', 'D']","[24, 24, 24, 24]",19990928
3bta,['A'],[4899],19991001
1b8l,['A'],[6196],19991005
2pah,"['A', 'B']","[5913, 5913]",19991006
1qmo,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","[507, 507, 507, 507, 508, 508, 508, 508]",19991010
1bx4,['A'],[37],19991013
1ekb,"['A', 'B', 'C']","[96, 97, 812]",19991014
1byo,['B'],[38],19991015
1qd6,"['A', 'B', 'C', 'D']","[494, 494, 495, 495]",19991025
1czf,['B'],[61],19991028
1d3y,"['A', 'B']","[65, 65]",19991105
1qha,"['A', 'B']","[194, 194]",19991110
1qmp,"['A', 'B', 'C', 'D']","[768, 768, 768, 6130]",19991114
1dbi,['A'],[3295],19991118
1b06,"['A', 'B']","[510, 510]",19991118
1qh4,"['C', 'D']","[501, 501]",19991119
1d7u,['A'],[853],19991119
1qoo,"['A', 'B', 'C', 'D']","[73, 73, 73, 73]",19991123
1qi4,['A'],[503],19991124
1b2l,['A'],[25],19991126
1hmk,['A'],[1122],19991126
1c8y,['A'],[7804],19991126
1dck,['B'],[2847],19991126
1d8h,['C'],[66],19991129
1qlb,"['A', 'B', 'C', 'D', 'E', 'F']","[367, 367, 368, 368, 504, 504]",19991129
1qle,"['A', 'B', 'C', 'D', 'H', 'L']","[7058, 8128, 8428, 8700, 9029, 9748]",19991202
1b09,"['A', 'B', 'C', 'D', 'E']","[874, 874, 874, 874, 874]",19991203
1b1b,['A'],[40],19991203
1qu0,"['C', 'D']","[515, 515]",19991203
3rap,"['R', 'S']","[2951, 2951]",19991208
1qr0,['A'],[514],19991210
1cw0,['A'],[409],19991212
1ql6,['A'],[2999],19991214
1qmz,"['A', 'B', 'C', 'D', 'E', 'F']","[509, 509, 2999, 2999, 3552, 3552]",19991214
3ubp,"['A', 'B', 'C']","[134, 136, 3231]",19991217
1dmu,['A'],[76],19991218
1dcq,['A'],[2603],19991222
2muc,"['A', 'B']","[2058, 2058]",19991222
1c3x,"['A', 'B', 'C']","[42, 42, 42]",19991222
1b4t,['A'],[780],19991223
1ck6,['A'],[3498],19991229
6std,"['A', 'B', 'C']","[7598, 7598, 7598]",19991229
1ch8,['A'],[6462],19991229
1d6n,"['A', 'B']","[434, 434]",19991230
1dx8,['A'],[3452],20000104
1cqi,"['A', 'B', 'D', 'E']","[59, 59, 3234, 3234]",20000107
1b57,"['A', 'B']","[28, 28]",20000107
1d0b,['A'],[62],20000107
1c39,"['A', 'B']","[41, 41]",20000114
1dqv,['A'],[6378],20000119
1b6z,"['A', 'B']","[1467, 1467]",20000121
1qji,['A'],[2256],20000121
1dg6,['A'],[4252],20000126
1qpb,"['A', 'B']","[427, 427]",20000204
1cq1,"['A', 'B']","[58, 58]",20000204
1nps,['A'],[386],20000204
1qmd,['A'],[506],20000206
1doa,"['A', 'B']","[2951, 3724]",20000209
3tli,['A'],[3800],20000218
1dl2,['A'],[3471],20000218
5lve,['A'],[9029],20000218
1d2i,"['A', 'B']","[64, 64]",20000221
1qls,"['A', 'D']","[505, 4383]",20000225
1cvr,['A'],[3926],20000301
1c0g,"['S', 'A']","[39, 9441]",20000301
1d0k,['A'],[5863],20000306
1dvp,['A'],[81],20000306
1qgj,['B'],[575],20000308
1ddz,"['A', 'B']","[70, 70]",20000308
1cyy,"['A', 'B']","[60, 60]",20000308
1yvn,"['A', 'G']","[39, 9441]",20000323
1dce,"['A', 'C', 'D']","[68, 69, 330]",20000324
1d5a,['A'],[5722],20000324
1dtw,"['A', 'B']","[656, 657]",20000327
1d0q,"['A', 'B']","[63, 63]",20000329
1qmg,"['A', 'B']","[2346, 2346]",20000331
1ej8,['A'],[95],20000405
1qfc,['A'],[497],20000410
1dy0,['A'],[33],20000411
1mms,"['A', 'B']","[348, 349]",20000417
1ek0,['A'],[2951],20000417
1cjy,['B'],[49],20000420
1eu3,['A'],[187],20000426
1eu4,['A'],[187],20000426
1clv,"['A', 'I']","[53, 9709]",20000503
1day,['A'],[10181],20000503
2hrv,['B'],[6151],20000503
1qgq,['A'],[500],20000504
1dqi,"['A', 'B', 'C', 'D']","[6759, 6759, 6759, 6759]",20000510
1ekx,"['A', 'B', 'C']","[2185, 2185, 2185]",20000512
1dtl,['A'],[7712],20000512
1qc5,"['A', 'B']","[908, 908]",20000517
1cm8,"['A', 'B']","[2999, 6396]",20000517
1ecq,"['A', 'B', 'C', 'D']","[3274, 3274, 3274, 3274]",20000523
1dmh,"['A', 'B']","[904, 904]",20000523
1ehi,"['A', 'B']","[9849, 9849]",20000523
1qhp,['A'],[3981],20000531
1ewc,['A'],[187],20000531
1qhy,['A'],[502],20000607
1qi0,['A'],[2984],20000607
1ef0,"['A', 'B']","[93, 93]",20000607
1ekj,"['E', 'F', 'G', 'H']","[98, 98, 98, 98]",20000607
1dbn,"['A', 'B']","[73, 73]",20000614
1ete,"['A', 'B']","[102, 102]",20000614
1qnn,"['A', 'B', 'C', 'D']","[510, 510, 510, 510]",20000621
1f1z,['B'],[602],20000628
1dq3,['A'],[77],20000705
1qua,['A'],[516],20000705
1exz,"['A', 'B', 'C', 'D']","[106, 106, 106, 106]",20000706
1scf,"['A', 'B', 'C', 'D']","[566, 566, 573, 573]",20000707
1dtd,"['A', 'B']","[882, 2181]",20000712
1ej6,[],[],20000712
1c0w,"['A', 'B', 'C', 'D']","[40, 40, 40, 8144]",20000722
3car,['A'],[2111],20000723
3cao,['A'],[2111],20000723
1dqn,"['A', 'B']","[78, 78]",20000726
1f9o,['A'],[3772],20000802
1ez1,"['A', 'B']","[110, 110]",20000802
1f2u,"['A', 'B', 'C', 'D']","[116, 116, 117, 117]",20000802
1c9p,"['A', 'B']","[45, 812]",20000803
1evw,"['C', 'D']","[104, 104]",20000803
1ffy,['A'],[270],20000807
1c8f,[],[],20000809
1de6,"['A', 'B', 'C', 'D']","[3250, 3250, 3250, 3250]",20000809
1f82,['A'],[822],20000816
1fhv,['A'],[536],20000823
1dxe,"['A', 'B']","[9561, 9561]",20000825
1flg,"['A', 'B']","[8054, 8054]",20000830
1egg,"['A', 'B']","[7524, 7524]",20000830
1c8n,"['A', 'B', 'C']","[43, 43, 43]",20000830
1flj,['A'],[3571],20000904
1f7r,['A'],[124],20000906
1f7n,['B'],[124],20000906
1f5f,['A'],[122],20000906
1ezw,['A'],[112],20000906
1e3i,"['A', 'B']","[1063, 1063]",20000912
1f48,['A'],[222],20000913
1f5a,['A'],[121],20000913
1fa5,"['A', 'B']","[125, 125]",20000920
1ezj,['A'],[111],20000920
1f5t,"['A', 'B', 'C', 'D']","[123, 123, 123, 123]",20000925
1du3,"['A', 'B', 'C', 'D', 'E', 'F']","[80, 80, 80, 4252, 4252, 4252]",20000927
1f5n,['A'],[8320],20000927
1gg1,"['A', 'B', 'C', 'D']","[3206, 3206, 3206, 3206]",20001004
1qp9,"['A', 'B']","[511, 511]",20001009
1eye,['A'],[107],20001011
1fio,['A'],[128],20001011
1qni,"['A', 'B']","[5442, 5442]",20001013
1qmu,['A'],[186],20001013
1fxu,['A'],[42],20001018
1fft,"['F', 'G', 'H', 'I']","[126, 7058, 7059, 7060]",20001018
1ex9,['A'],[3839],20001018
1f4t,"['A', 'B']","[4872, 4872]",20001023
1dfk,"['A', 'Y', 'Z']","[72, 7712, 8276]",20001025
1dfl,"['B', 'W', 'X']","[72, 7712, 8276]",20001025
1f2n,"['A', 'B', 'C']","[115, 115, 115]",20001101
1f0o,"['A', 'B']","[113, 113]",20001106
1pa2,['A'],[575],20001115
1f66,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","[7024, 7024, 8126, 8126, 9871, 9871, 10129, 10129]",20001127
1g7y,"['E', 'F']","[73, 73]",20001129
1fuk,['A'],[133],20001129
1g43,['A'],[1764],20001201
1ci6,"['A', 'B']","[47, 48]",20001204
1f3h,"['A', 'B']","[118, 118]",20001206
1gax,"['B', 'A']","[150, 151]",20001206
1e2s,['P'],[18],20001206
1dj9,['A'],[75],20001206
1f8v,[],[],20001206
1g29,['1'],[140],20001206
1e5n,['B'],[3338],20001208
1g16,"['A', 'B', 'C', 'D']","[2951, 2951, 2951, 2951]",20001211
1g17,"['A', 'B']","[2951, 2951]",20001211
1eys,"['C', 'L', 'M', 'H']","[108, 109, 835, 835]",20001213
1g8k,"['E', 'F']","[147, 148]",20001213
1ewk,"['A', 'B']","[2798, 2798]",20001218
1do5,"['A', 'B', 'C', 'D']","[780, 780, 780, 780]",20001218
1fwk,"['C', 'D']","[181, 181]",20001220
1dmt,['A'],[3959],20001220
1f62,['A'],[6039],20001227
1hdf,"['A', 'B']","[188, 188]",20001228
1hqr,"['A', 'B', 'C', 'D']","[187, 196, 2101, 8965]",20010103
1e70,['M'],[8030],20010105
1ds5,"['A', 'B', 'E', 'F']","[79, 79, 10181, 10181]",20010107
1he8,"['A', 'B']","[189, 2951]",20010108
1f4n,"['A', 'B']","[120, 120]",20010110
1g71,['B'],[145],20010110
1frw,['A'],[131],20010110
1cul,"['A', 'B', 'C']","[1834, 7569, 7569]",20010110
1g73,"['B', 'D']","[146, 5046]",20010110
1cs4,"['A', 'B', 'C']","[1834, 7569, 7569]",20010110
1fs8,['A'],[7353],20010117
1fx5,"['A', 'B']","[73, 73]",20010117
1g8x,"['A', 'B']","[8276, 8276]",20010117
1gag,"['A', 'B']","[554, 6166]",20010117
1g4u,"['S', 'R']","[142, 2951]",20010124
1ee6,['A'],[3713],20010131
1ee8,"['A', 'B']","[3224, 3224]",20010131
1e3j,['A'],[1063],20010204
1f9b,['A'],[184],20010210
