cluster	rep_chain	chain
60	1cyy:A	1cyy:B
61	1czf:B	1czf:B
62	1d0b:A	1d0b:A
63	1d0q:B	1d0q:A
63	1d0q:B	1d0q:B
64	1d2i:B	1d2i:A
64	1d2i:B	1d2i:B
65	1d3y:A	1d3y:A
65	1d3y:A	1d3y:B
66	1d8h:C	1d8h:C
67	1dam:A	1bs1:A
67	1dam:A	1dam:A
68	1dce:A	1dce:A
69	1dce:D	1dce:D
69	1dce:D	1ltx:B
69	1dce:D	6o60:B
70	1ddz:B	1ddz:A
70	1ddz:B	1ddz:B
71	1del:B	1del:A
71	1del:B	1del:B
72	1dfk:Y	1dfk:Y
72	1dfk:Y	1dfl:W
72	1dfk:Y	1kk8:B
72	1dfk:Y	1kwo:B
72	1dfk:Y	3i5f:B
72	1dfk:Y	7mf3:D
72	1dfk:Y	7mf3:E
72	1dfk:Y	7udu:E
72	1dfk:Y	8act:E
72	1dfk:Y	8act:F
73	1dhk:B	1axz:A
73	1dhk:B	1dbn:A
73	1dhk:B	1dbn:B
73	1dhk:B	1dhk:B
73	1dhk:B	1fat:A
73	1dhk:B	1fat:B
73	1dhk:B	1fat:C
73	1dhk:B	1fat:D
73	1dhk:B	1fay:C
73	1dhk:B	1fay:D
73	1dhk:B	1fnz:A
73	1dhk:B	1fx5:A
73	1dhk:B	1fx5:B
73	1dhk:B	1g7y:E
73	1dhk:B	1g7y:F
73	1dhk:B	1hql:A
73	1dhk:B	1hql:B
73	1dhk:B	1led:A
73	1dhk:B	1lu1:A
73	1dhk:B	1n47:A
73	1dhk:B	1n47:B
73	1dhk:B	1n47:C
73	1dhk:B	1n47:D
73	1dhk:B	1qoo:A
73	1dhk:B	1qoo:B
73	1dhk:B	1qoo:C
73	1dhk:B	1qoo:D
73	1dhk:B	1rit:A
73	1dhk:B	1rit:B
73	1dhk:B	1rit:C
73	1dhk:B	1rit:D
73	1dhk:B	1sbe:A
73	1dhk:B	1viw:B
73	1dhk:B	2dty:A
73	1dhk:B	2dty:B
73	1dhk:B	2eig:A
73	1dhk:B	2eig:B
73	1dhk:B	2eig:C
73	1dhk:B	2eig:D
73	1dhk:B	2fmd:A
73	1dhk:B	2pht:A
73	1dhk:B	2pht:B
73	1dhk:B	2zmk:D
73	1dhk:B	3n36:A
73	1dhk:B	3ujo:A
73	1dhk:B	3ujo:B
73	1dhk:B	3ujo:C
73	1dhk:B	3ujo:D
73	1dhk:B	3usu:A
73	1dhk:B	3usu:B
73	1dhk:B	3usu:C
73	1dhk:B	3usu:D
73	1dhk:B	3wcs:A
73	1dhk:B	3wcs:B
73	1dhk:B	4d69:A
73	1dhk:B	4m3c:E
73	1dhk:B	4m3c:F
73	1dhk:B	4m3c:G
73	1dhk:B	4m3c:H
73	1dhk:B	4wv8:A
73	1dhk:B	4wv8:B
73	1dhk:B	4wv8:C
73	1dhk:B	4wv8:D
73	1dhk:B	5eyx:A
73	1dhk:B	5eyx:B
73	1dhk:B	5kxe:A
73	1dhk:B	5kxe:B
73	1dhk:B	5kxe:C
73	1dhk:B	5kxe:D
73	1dhk:B	5t52:A
73	1dhk:B	5t52:B
73	1dhk:B	5t5p:B
73	1dhk:B	5t7p:A
73	1dhk:B	5t7p:B
73	1dhk:B	5u38:A
73	1dhk:B	6xt6:A
73	1dhk:B	6xt6:B
74	1dhy:A	1dhy:A
74	1dhy:A	2wl9:A
74	1dhy:A	2wl9:B
74	1dhy:A	6l3w:A
75	1dj9:A	1dj9:A
76	1dmu:A	1dmu:A
77	1dq3:A	1dq3:A
78	1dqn:B	1dqn:A
78	1dqn:B	1dqn:B
79	1ds5:E	1ds5:E
79	1ds5:E	1ds5:F
80	1du3:B	1du3:A
80	1du3:B	1du3:B
80	1du3:B	1du3:C
80	1du3:B	4i9x:C
80	1du3:B	4i9x:D
80	1du3:B	4n90:R
81	1dvp:A	1dvp:A
81	1dvp:A	4avx:A
82	1dzi:B	1dzi:B
82	1dzi:B	1dzi:C
82	1dzi:B	4bj3:C
82	1dzi:B	4bj3:D
82	1dzi:B	4bj3:E
83	1e1h:C	1e1h:A
83	1e1h:C	1e1h:C
83	1e1h:C	3k3q:B
84	1e1h:D	1e1h:B
84	1e1h:D	1e1h:D
84	1e1h:D	3k3q:C
85	1e29:A	1e29:A
85	1e29:A	1w5c:V
86	1e2a:A	1e2a:A
86	1e2a:A	1e2a:B
86	1e2a:A	1e2a:C
86	1e2a:A	3k1s:A
86	1e2a:A	3k1s:B
86	1e2a:A	3k1s:C
87	1e4u:A	1e4u:A
88	1e7l:B	1e7l:A
88	1e7l:B	1e7l:B
89	1eak:P	1eak:P
90	1eb0:A	1eb0:A
90	1eb0:A	3ny0:A
90	1eb0:A	3ny0:B
90	1eb0:A	3ny0:C
90	1eb0:A	3ny0:D
90	1eb0:A	3tj9:A
90	1eb0:A	3tj9:B
91	1eb6:A	1eb6:A
92	1ebo:F	1ebo:D
92	1ebo:F	1ebo:E
92	1ebo:F	1ebo:F
93	1ef0:B	1ef0:A
93	1ef0:B	1ef0:B
93	1ef0:B	1lws:A
94	1ei6:D	1ei6:A
94	1ei6:D	1ei6:D
94	1ei6:D	3t01:A
95	1ej8:A	1ej8:A
96	1ekb:A	1ekb:A
97	1ekb:C	1ekb:C
98	1ekj:G	1ekj:E
98	1ekj:G	1ekj:F
98	1ekj:G	1ekj:G
98	1ekj:G	1ekj:H
98	1ekj:G	2esf:A
98	1ekj:G	2esf:B
98	1ekj:G	2w3n:B
98	1ekj:G	2w3n:C
98	1ekj:G	3e1v:A
98	1ekj:G	3e1v:B
98	1ekj:G	3e28:C
98	1ekj:G	3e28:D
98	1ekj:G	3e3f:A
98	1ekj:G	3e3f:B
98	1ekj:G	3e3g:A
98	1ekj:G	3e3g:B
98	1ekj:G	3ucm:A
98	1ekj:G	3ucm:B
98	1ekj:G	4o1j:A
98	1ekj:G	4o1j:B
98	1ekj:G	4o1k:A
98	1ekj:G	4rxy:A
98	1ekj:G	5cxk:A
98	1ekj:G	5cxk:B
98	1ekj:G	5cxk:C
98	1ekj:G	5cxk:D
98	1ekj:G	5swc:A
98	1ekj:G	5swc:B
98	1ekj:G	5swc:C
98	1ekj:G	5swc:D
98	1ekj:G	5swc:E
98	1ekj:G	5swc:F
98	1ekj:G	6d2m:A
98	1ekj:G	6gwu:A
98	1ekj:G	6gwu:B
98	1ekj:G	6gwu:C
98	1ekj:G	6gwu:D
98	1ekj:G	6yl7:A
98	1ekj:G	7coi:A
98	1ekj:G	7coi:B
98	1ekj:G	7coi:C
98	1ekj:G	7coi:D
98	1ekj:G	7cxy:A
98	1ekj:G	7cxy:B
99	1enc:A	1enc:A
99	1enc:A	2oeo:A
99	1enc:A	3owf:A
99	1enc:A	3p75:A
100	1ept:A	1ept:A
101	1ept:B	1ept:B
102	1ete:B	1ete:A
102	1ete:B	1ete:B
103	1etu:A	1etu:A
104	1evw:D	1evw:C
104	1evw:D	1evw:D
105	1ew8:A	1ew8:A
105	1ew8:A	1ew8:B
105	1ew8:A	7tm9:E
105	1ew8:A	7tm9:F
106	1exz:A	1exz:A
106	1exz:A	1exz:B
106	1exz:A	1exz:C
106	1exz:A	1exz:D
107	1eye:A	1eye:A
107	1eye:A	3tyz:A
107	1eye:A	3tyz:B
107	1eye:A	7s2k:A
107	1eye:A	8scd:A
108	1eys:C	1eys:C
108	1eys:C	1prc:C
109	1eys:H	1eys:H
109	1eys:H	1m3x:H
109	1eys:H	1prc:H
109	1eys:H	1z9k:C
110	1ez1:B	1ez1:A
110	1ez1:B	1ez1:B
111	1ezj:A	1ezj:A
112	1ezw:A	1ezw:A
113	1f0o:B	1f0o:A
113	1f0o:B	1f0o:B
114	1f2i:J	1f2i:I
114	1f2i:J	1f2i:J
115	1f2n:B	1f2n:A
115	1f2n:B	1f2n:B
115	1f2n:B	1f2n:C
116	1f2u:C	1f2u:A
116	1f2u:C	1f2u:C
117	1f2u:D	1f2u:B
117	1f2u:D	1f2u:D
118	1f3h:A	1f3h:A
118	1f3h:A	1f3h:B
118	1f3h:A	1m4m:A
118	1f3h:A	4a0n:A
118	1f3h:A	6yif:A
119	1f3z:A	1f3z:A
119	1f3z:A	1glc:F
120	1f4n:B	1f4n:A
120	1f4n:B	1f4n:B
121	1f5a:A	1f5a:A
121	1f5a:A	4lt6:A
122	1f5f:A	1f5f:A
123	1f5t:A	1f5t:A
123	1f5t:A	1f5t:B
123	1f5t:A	1f5t:C
123	1f5t:A	1f5t:D
124	1f7n:B	1f7n:B
124	1f7n:B	1f7r:A
125	1fa5:B	1fa5:A
125	1fa5:B	1fa5:B
125	1fa5:B	2c21:C
125	1fa5:B	2c21:D
125	1fa5:B	4mts:A
125	1fa5:B	4mts:B
126	1fft:I	1fft:I
127	1fgm:A	1fgm:A
127	1fgm:A	1ik3:A
127	1fgm:A	2iuj:A
127	1fgm:A	2iuk:A
128	1fio:A	1fio:A
129	1fn9:A	1fn9:A
129	1fn9:A	1fn9:B
129	1fn9:A	1jmu:G
129	1fn9:A	1jmu:H
129	1fn9:A	1jmu:I
130	1fqj:C	1fqj:C
131	1frw:A	1frw:A
132	1fui:A	1fui:A
132	1fui:A	1fui:B
132	1fui:A	1fui:C
132	1fui:A	1fui:D
132	1fui:A	1fui:E
132	1fui:A	1fui:F
132	1fui:A	3a9s:A
132	1fui:A	3a9s:B
132	1fui:A	3a9s:C
132	1fui:A	4c20:B
132	1fui:A	4c22:A
132	1fui:A	4c22:B
133	1fuk:A	1fuk:A
133	1fuk:A	2rb4:A
134	1fwa:A	1fwa:A
134	1fwa:A	3ubp:A
135	1fwa:B	1fwa:B
136	1fwa:C	1fwa:C
136	1fwa:C	3ubp:C
137	1fx4:A	1fx4:A
138	1fxw:A	1fxw:A
138	1fxw:A	1fxw:F
139	1g12:A	1g12:A
139	1g12:A	1ge7:A
139	1g12:A	1ge7:B
140	1g29:1	1g29:1
140	1g29:1	2awn:C
140	1g29:1	2awn:D
140	1g29:1	2awo:A
140	1g29:1	2awo:B
140	1g29:1	3puw:A
140	1g29:1	3puw:B
140	1g29:1	4tqu:S
140	1g29:1	4tqu:T
140	1g29:1	8hps:C
140	1g29:1	8hps:D
141	1g42:A	1g42:A
142	1g4u:S	1g4u:S
143	1g5b:B	1g5b:B
144	1g67:A	1g67:A
145	1g71:B	1g71:B
145	1g71:B	1v34:A
146	1g73:B	1g73:B
147	1g8k:E	1g8k:E
148	1g8k:F	1g8k:F
149	1ga8:A	1ga8:A
150	1gax:A	1gax:A
151	1gax:B	1gax:B
152	1ggq:A	1ggq:A
152	1ggq:A	1ggq:B
152	1ggq:A	1ggq:C
152	1ggq:A	1ggq:D
153	1gkp:A	1gkp:A
154	1gkp:B	1gkp:B
155	1gl4:A	1gl4:A
156	1gl4:B	1gl4:B
157	1gl9:B	1gl9:B
157	1gl9:B	4ddw:A
157	1gl9:B	7fse:A
158	1gm5:A	1gm5:A
159	1gmw:A	1gmw:A
159	1gmw:A	1gmw:B
159	1gmw:A	1gmw:C
159	1gmw:A	1gmw:D
160	1gn1:H	1gn1:G
160	1gn1:H	1gn1:H
161	1gpl:A	1eth:A
161	1gpl:A	1eth:C
161	1gpl:A	1gpl:A
161	1gpl:A	1hpl:A
161	1gpl:A	1lpb:B
161	1gpl:A	1rp1:A
161	1gpl:A	1w52:X
161	1gpl:A	2oxe:B
161	1gpl:A	2ppl:A
161	1gpl:A	2pvs:A
161	1gpl:A	2pvs:B
161	1gpl:A	6oaz:C
161	1gpl:A	6ob0:C
162	1gqh:C	1gqh:A
162	1gqh:C	1gqh:C
163	1gqy:B	1gqy:A
163	1gqy:B	1gqy:B
163	1gqy:B	1p3d:A
163	1gqy:B	7bvb:A
164	1gr0:A	1gr0:A
165	1gsa:A	1gsa:A
166	1gt7:M	1gt7:M
166	1gt7:M	1gt7:N
166	1gt7:M	1gt7:O
166	1gt7:M	1gt7:P
166	1gt7:M	1ojr:A
167	1gtl:3	1gtl:3
168	1gtt:D	1gtt:D
169	1gui:A	1gui:A
170	1gun:A	1gun:A
170	1gun:A	1gun:B
170	1gun:A	1gun:C
171	1gvg:A	1gvg:A
171	1gvg:A	4m25:A
171	1gvg:A	4m25:B
171	1gvg:A	7y5p:A
171	1gvg:A	7y5p:B
172	1gwm:A	1gwm:A
173	1gy1:A	1gy1:A
174	1gzg:B	1gjp:A
174	1gzg:B	1gzg:A
174	1gzg:B	1gzg:B
174	1gzg:B	1pv8:A
174	1gzg:B	1pv8:B
174	1gzg:B	2c1h:A
174	1gzg:B	2c1h:B
174	1gzg:B	3obk:A
174	1gzg:B	3obk:B
174	1gzg:B	3obk:C
174	1gzg:B	3obk:D
174	1gzg:B	3obk:E
174	1gzg:B	3obk:F
174	1gzg:B	3obk:G
174	1gzg:B	3obk:H
174	1gzg:B	5hms:A
174	1gzg:B	5hms:B
174	1gzg:B	5lzl:I
174	1gzg:B	5lzl:J
174	1gzg:B	5lzl:K
174	1gzg:B	5lzl:L
174	1gzg:B	5mhb:A
175	1h0h:K	1h0h:K
176	1h0h:L	1h0h:L
177	1h3g:B	1h3g:B
177	1h3g:B	3ecq:B
178	1h41:A	1h41:A
178	1h41:A	1h41:B
179	1h6g:A	1h6g:A
180	1h6x:A	1h6x:A
181	1h74:A	1fwk:C
181	1h74:A	1fwk:D
181	1h74:A	1h74:A
181	1h74:A	1h74:B
182	1h74:C	1h74:C
183	1h74:D	1h74:D
184	1h76:A	1blf:A
184	1h76:A	1dot:A
184	1h76:A	1f9b:A
184	1h76:A	1h76:A
184	1h76:A	1i6q:A
184	1h76:A	1jnf:A
184	1h76:A	1lfi:A
184	1h76:A	1n04:A
184	1h76:A	6d03:C
184	1h76:A	6d03:D
184	1h76:A	6d04:C
184	1h76:A	6d04:D
184	1h76:A	6soz:C
184	1h76:A	6xr0:M
184	1h76:A	7jrd:B
185	1h80:A	1h80:A
185	1h80:A	1ktw:A
186	1h8l:A	1h8l:A
186	1h8l:A	1qmu:A
186	1h8l:A	1uwy:A
186	1h8l:A	3mn8:B
187	1ha5:D	1ck1:A
187	1ha5:D	1dyq:A
187	1ha5:D	1eu3:A
187	1ha5:D	1eu4:A
187	1ha5:D	1ewc:A
187	1ha5:D	1ha5:D
187	1ha5:D	1hqr:D
187	1ha5:D	1l0y:D
187	1ha5:D	1ty2:A
187	1ha5:D	1ty2:B
187	1ha5:D	1uns:A
187	1ha5:D	2g9h:D
187	1ha5:D	2ici:A
187	1ha5:D	2j4x:A
187	1ha5:D	3ea6:A
187	1ha5:D	3r8b:C
187	1ha5:D	5fka:C
188	1hdf:B	1hdf:A
188	1hdf:B	1hdf:B
189	1he8:A	1he8:A
190	1hfe:M	1hfe:L
190	1hfe:M	1hfe:M
191	1hfe:T	1hfe:S
191	1hfe:T	1hfe:T
192	1hi9:A	1hi9:A
192	1hi9:A	1hi9:B
192	1hi9:A	1hi9:C
192	1hi9:A	1hi9:D
192	1hi9:A	1hi9:E
193	1hk7:A	1hk7:A
194	1hkb:A	1hkb:A
194	1hkb:A	1qha:A
194	1hkb:A	1qha:B
195	1hm3:A	1hm3:A
196	1hqr:C	1hqr:C
197	1hr8:O	1hr8:O
198	1hr8:P	1hr8:P
199	1hr8:Q	1hr8:Q
200	1hr8:R	1hr8:R
201	1htw:A	1htw:A
202	1hw7:A	1hw7:A
203	1hxr:A	1hxr:A
203	1hxr:A	2fu5:B
204	1i3j:A	1i3j:A
205	1i3o:A	1i3o:A
205	1i3o:A	1i3o:C
205	1i3o:A	3sip:A
205	1i3o:A	3sip:C
206	1i3o:F	1i3o:E
206	1i3o:F	1i3o:F
206	1i3o:F	4j3y:A
206	1i3o:F	4j3y:C
206	1i3o:F	4wvt:B
206	1i3o:F	8aza:C
207	1i5a:B	1i5a:A
207	1i5a:B	1i5a:B
208	1i6n:A	1i6n:A
209	1i7q:D	1i7q:B
209	1i7q:D	1i7q:D
210	1i7w:A	1i7w:A
210	1i7w:A	1i7w:C
211	1i7w:B	1i7w:B
211	1i7w:B	1i7w:D
212	1i8a:A	1i8a:A
213	1i9b:A	1i9b:A
213	1i9b:A	1i9b:B
213	1i9b:A	1i9b:C
213	1i9b:A	1i9b:D
213	1i9b:A	1i9b:E
213	1i9b:A	4zk4:A
213	1i9b:A	4zk4:B
213	1i9b:A	4zk4:C
213	1i9b:A	4zk4:D
213	1i9b:A	4zk4:E
214	1ia7:A	1ia7:A
214	1ia7:A	1ksc:A
214	1ia7:A	2xfg:A
214	1ia7:A	2yik:A
214	1ia7:A	4doe:A
214	1ia7:A	4zh5:B
214	1ia7:A	7v0i:B
214	1ia7:A	8ihw:A
215	1iah:A	1iah:A
215	1iah:A	1iah:B
216	1iau:B	1iau:B
217	1ibq:A	1ibq:A
218	1ibr:B	1ibr:B
219	1iby:D	1iby:D
220	1id0:A	1id0:A
221	1igb:A	1igb:A
221	1igb:A	3vh9:A
221	1igb:A	6zep:A
221	1igb:A	7oez:A
222	1ii0:B	1f48:A
222	1ii0:B	1ii0:A
222	1ii0:B	1ii0:B
223	1ii7:A	1ii7:A
223	1ii7:A	1ii7:B
223	1ii7:A	1s8e:B
223	1ii7:A	3auz:A
223	1ii7:A	3av0:A
223	1ii7:A	4tug:A
223	1ii7:A	4tug:B
223	1ii7:A	4tug:C
223	1ii7:A	4tug:D
223	1ii7:A	4tug:E
223	1ii7:A	4tug:F
223	1ii7:A	5dny:A
223	1ii7:A	5dny:C
224	1ij6:A	1ij6:A
225	1io0:A	1io0:A
226	1ips:B	1ips:A
226	1ips:B	1ips:B
226	1ips:B	7p3l:A
227	1iqc:A	1iqc:A
227	1iqc:A	1iqc:C
227	1iqc:A	1rz5:A
227	1iqc:A	1zzh:A
227	1iqc:A	1zzh:B
227	1iqc:A	1zzh:C
227	1iqc:A	1zzh:D
227	1iqc:A	2c1v:A
227	1iqc:A	2c1v:B
227	1iqc:A	2vhd:A
227	1iqc:A	2vhd:B
227	1iqc:A	3hq7:A
227	1iqc:A	3hq9:A
227	1iqc:A	3hq9:B
227	1iqc:A	3o5c:C
227	1iqc:A	3o5c:D
227	1iqc:A	4aan:A
228	1ir3:B	1ir3:B
229	1ir6:A	1ir6:A
230	1irx:B	1irx:B
231	1itu:B	1itu:A
231	1itu:B	1itu:B
231	1itu:B	3k5x:A
231	1itu:B	3s2m:A
231	1itu:B	5ns5:A
232	1iuj:A	1iuj:A
232	1iuj:A	1iuj:B
233	1iwl:A	1iwl:A
233	1iwl:A	8chx:A
233	1iwl:A	8chx:B
234	1iym:A	1iym:A
234	1iym:A	2lxh:C
234	1iym:A	2lxp:C
234	1iym:A	5zc4:A
234	1iym:A	6a3z:A
234	1iym:A	6w9a:D
234	1iym:A	7bvw:A
234	1iym:A	7ojx:A
234	1iym:A	8i3x:A
234	1iym:A	8i3x:B
235	1izc:A	1izc:A
236	1j24:A	1j24:A
237	1j2b:B	1j2b:A
237	1j2b:B	1j2b:B
238	1j2x:A	1j2x:A
239	1j2x:B	1j2x:B
240	1j5u:A	1j5u:A
241	1j84:A	1j84:A
242	1j9y:A	1gvy:A
242	1j9y:A	1j9y:A
243	1jbk:A	1jbk:A
244	1jcc:A	1jcc:A
244	1jcc:A	1jcc:B
244	1jcc:A	1jcc:C
245	1jdb:B	1jdb:B
245	1jdb:B	1jdb:E
245	1jdb:B	1jdb:H
245	1jdb:B	1jdb:K
246	1jdb:C	1jdb:C
246	1jdb:C	1jdb:F
246	1jdb:C	1jdb:I
246	1jdb:C	1jdb:L
247	1je5:A	1je5:A
247	1je5:A	1je5:B
248	1jee:B	1jee:A
248	1jee:B	1jee:B
249	1jgt:B	1jgt:A
249	1jgt:B	1jgt:B
249	1jgt:B	1mc1:A
250	1jhn:A	1jhn:A
251	1jjd:A	1jjd:A
252	1jk9:B	1jk9:B
252	1jk9:B	1jk9:D
252	1jk9:B	5u9m:B
253	1jke:A	1jke:A
253	1jke:A	1jke:C
253	1jke:A	1jke:D
253	1jke:A	2okv:C
253	1jke:A	2okv:D
254	1jkv:A	1jkv:A
254	1jkv:A	1jkv:B
254	1jkv:A	1jkv:C
254	1jkv:A	1jkv:D
254	1jkv:A	1jkv:E
254	1jkv:A	1jkv:F
255	1jl5:A	1jl5:A
256	1jm0:C	1jm0:C
256	1jm0:C	1jm0:D
256	1jm0:C	1ovv:A
256	1jm0:C	1ovv:B
256	1jm0:C	1ovv:C
256	1jm0:C	1ovv:D
256	1jm0:C	1ovv:E
256	1jm0:C	1ovv:F
257	1jml:A	1hz5:A
257	1jml:A	1jml:A
258	1jmu:A	1jmu:A
258	1jmu:A	1jmu:C
258	1jmu:A	1jmu:E
259	1jmu:B	1jmu:B
259	1jmu:B	1jmu:D
259	1jmu:B	1jmu:F
260	1joc:B	1joc:A
260	1joc:B	1joc:B
261	1jod:B	1job:A
261	1jod:B	1jod:B
262	1jqg:A	1jqg:A
263	1jqn:A	1jqn:A
264	1jrp:A	1jrp:A
264	1jrp:A	1jrp:C
264	1jrp:A	2w3r:G
265	1jtd:B	1jtd:B
266	1jwb:B	1jwb:B
266	1jwb:B	1zfn:A
266	1jwb:B	1zfn:B
