PDB ID,Receptor chain,Ligand,Ligand chain,Ligand Number
1a49,B,MG,B,1
1a49,C,MG,C,1
1a49,D,MG,D,1
1a49,E,MG,E,1
1a49,F,MG,F,1
1a49,G,MG,G,1
1a49,H,MG,H,1
1a4a,A,CU,A,1
1a4a,B,CU,B,1
1a4b,A,CU,A,1
1a4b,B,CU,B,1
1a4c,A,CU,A,1
1a4c,B,CU,B,1
1a4c,C,CU,C,1
1a4c,D,CU,D,1
1a4g,A,CA,A,1
1a4g,B,CA,B,1
1a4l,A,ZN,A,1
1a4l,B,ZN,B,1
1a4l,C,ZN,C,1
1a4l,D,ZN,D,1
1a4m,A,ZN,A,1
1a4m,B,ZN,B,1
1a4m,C,ZN,C,1
1a4m,D,ZN,D,1
1a4q,A,CA,A,1
1a4q,B,CA,B,1
1a4v,A,CA,A,1
1a4v,A,CA,A,2
1a5n,C,NI,C,1
1a5n,C,NI,C,2
1a5o,C,NI,C,1
1a5o,C,NI,C,2
1a5t,A,ZN,A,1
1a5u,A,MG,A,1
1a5u,B,MG,B,1
1a5u,C,MG,C,1
1a5u,D,MG,D,1
1a5u,E,MG,E,1
1a5u,F,MG,F,1
1a5u,G,MG,G,1
1a5u,H,MG,H,1
1a5v,A,MN,A,1
1a65,A,CU,A,1
1a65,A,CU,A,2
1a65,A,CU,A,3
1a6b,B,ZN,B,1
1a6f,A,ZN,A,1
1a6q,A,MN,A,1
1a6q,A,MN,A,2
1a6y,A,ZN,A,1
1a6y,A,ZN,A,2
1a6y,B,ZN,B,1
1a6y,B,ZN,B,2
1a71,A,ZN,A,1
1a71,A,ZN,A,2
1a71,B,ZN,B,1
1a71,B,ZN,B,2
1a72,A,ZN,A,1
1a72,A,ZN,A,2
1a73,A,ZN,A,1
1a73,A,ZN,A,2
1a73,B,ZN,B,1
1a73,B,ZN,B,2
1a74,A,ZN,A,1
1a74,A,ZN,A,2
1a74,B,ZN,B,1
1a74,B,ZN,B,2
1a75,A,CA,A,1
1a75,A,CA,A,2
1a75,B,CA,B,1
1a75,B,CA,B,2
1a76,A,MN,A,1
1a77,A,MG,A,1
1a7i,A,ZN,A,1
1a7i,A,ZN,A,2
1a7t,A,ZN,A,1
1a7t,A,ZN,A,2
1a7t,B,ZN,B,1
1a7t,B,ZN,B,2
1a7w,A,ZN,A,1
1a82,A,MG,A,1
1a85,A,CA,A,1
1a85,A,CA,A,2
1a85,A,ZN,A,1
1a85,A,ZN,A,2
1a86,A,CA,A,1
1a86,A,CA,A,2
1a86,A,ZN,A,1
1a86,A,ZN,A,2
1a8a,A,CA,A,1
1a8a,A,CA,A,2
1a8a,A,CA,A,3
1a8a,A,CA,A,4
1a8a,A,CA,A,5
1a8a,A,CA,A,6
1a8a,A,CA,A,7
1a8a,A,CA,A,8
1a8a,A,CA,A,9
1a8a,A,CA,A,10
1a8b,A,CA,A,1
1a8b,A,CA,A,2
1a8b,A,CA,A,3
1a8b,A,CA,A,4
1a8b,A,CA,A,5
1a8b,A,CA,A,6
1a8b,A,CA,A,7
1a8b,A,CA,A,8
1a8b,A,CA,A,9
1a8e,A,FE,A,1
1a8f,A,FE,A,1
1a8h,A,ZN,A,1
1a8t,A,ZN,A,1
1a8t,A,ZN,A,2
1a8t,B,ZN,B,1
1a8t,B,ZN,B,2
1a8v,A,CU,A,1
1a8v,B,CU,B,1
1a9x,A,MN,A,1
1a9x,A,MN,A,2
1a9x,A,MN,A,3
1a9x,C,MN,C,1
1a9x,C,MN,C,2
1a9x,C,MN,C,3
1a9x,E,MN,E,1
1a9x,E,MN,E,2
1a9x,E,MN,E,3
1a9x,G,MN,G,1
1a9x,G,MN,G,2
1a9x,G,MN,G,3
1aa1,B,MG,B,1
1aa1,E,MG,E,1
1aa1,H,MG,H,1
1aa1,L,MG,L,1
1aa9,A,MG,A,1
1aac,A,CU,A,1
1aaf,A,ZN,A,1
1aaf,A,ZN,A,2
1aan,A,CU,A,1
1aay,A,ZN,A,1
1aay,A,ZN,A,2
1aay,A,ZN,A,3
1acc,A,CA,A,1
1acc,A,CA,A,2
1acm,B,ZN,B,1
1acm,D,ZN,D,1
1ad5,A,CA,A,2
1ad5,A,CA,B,1
1ad5,B,CA,A,1
1ad5,B,CA,B,2
1adb,A,ZN,A,1
1adb,A,ZN,A,2
1adb,B,ZN,B,1
1adb,B,ZN,B,2
1adc,A,ZN,A,1
1adc,A,ZN,A,2
1adc,B,ZN,B,1
1adc,B,ZN,B,2
1add,A,ZN,A,1
1adf,A,ZN,A,1
1adf,A,ZN,A,2
1adg,A,ZN,A,1
1adn,A,ZN,A,1
1adu,A,ZN,A,1
1adu,A,ZN,A,2
1adu,B,ZN,B,1
1adu,B,ZN,B,2
1adv,A,ZN,A,1
1adv,A,ZN,A,2
1adv,B,ZN,B,1
1adv,B,ZN,B,2
1adw,A,CU,A,1
1adw,B,CU,B,1
1aei,A,CA,A,1
1aei,A,CA,A,2
1aei,A,CA,A,3
1aei,A,CA,A,4
1aei,B,CA,B,1
1aei,B,CA,B,2
1aei,B,CA,B,3
1aei,B,CA,B,4
1aei,C,CA,C,1
1aei,C,CA,C,2
1aei,C,CA,C,3
1aei,C,CA,C,4
1aei,D,CA,D,1
1aei,D,CA,D,2
1aei,D,CA,D,3
1aei,D,CA,D,4
1aei,E,CA,E,1
1aei,E,CA,E,2
1aei,E,CA,E,3
1aei,E,CA,E,4
1aei,F,CA,F,1
1aei,F,CA,F,2
1aei,F,CA,F,3
1aei,F,CA,F,4
1aex,A,CA,A,1
1af0,A,ZN,A,1
1af0,A,CA,A,1
1af0,A,CA,A,2
1af0,A,CA,A,3
1af0,A,CA,A,4
1af0,A,CA,A,5
1af0,A,CA,A,6
1af0,A,CA,A,7
1af2,A,ZN,A,1
1af4,A,CA,A,1
1afa,1,CA,1,1
1afa,1,CA,1,2
1afa,2,CA,2,1
1afa,2,CA,2,2
1afa,2,CA,2,3
1afa,3,CA,3,1
1afa,3,CA,3,2
1afb,1,CA,1,1
1afb,1,CA,1,2
1afb,2,CA,2,1
1afb,2,CA,2,2
1afb,2,CA,2,3
1afb,3,CA,3,1
1afb,3,CA,3,2
1afd,1,CA,1,1
1afd,1,CA,1,2
1afd,2,CA,2,1
1afd,2,CA,2,2
1afd,3,CA,3,1
1afd,3,CA,3,2
1ag0,A,CU,A,1
1ag0,B,CU,B,1
1ag6,A,CU,A,1
1ag9,A,CA,A,1
1ag9,B,CA,B,1
1agn,A,ZN,A,1
1agn,A,ZN,A,2
1agn,B,ZN,B,1
1agn,B,ZN,B,2
1agn,C,ZN,C,1
1agn,C,ZN,C,2
1agn,D,ZN,D,1
1agn,D,ZN,D,2
1agn,D,ZN,D,3
1agp,A,MG,A,1
1agr,A,MG,A,1
1agr,D,MG,D,1
1ah7,A,ZN,A,1
1ah7,A,ZN,A,2
1ah7,A,ZN,A,3
1ahj,A,FE,A,1
1ahj,C,FE,C,1
1ahj,E,FE,E,1
1ahj,G,FE,G,1
1ahr,A,CA,A,1
1ahr,A,CA,A,2
1ahr,A,CA,A,3
1ahr,A,CA,A,4
1ai4,B,CA,B,1
1ai5,B,CA,B,1
1ai6,B,CA,B,1
1ai7,B,CA,B,1
1aih,C,MG,C,1
1aii,A,CA,A,1
1aii,A,CA,A,2
1aii,A,CA,A,3
1aii,A,CA,A,4
1aii,A,CA,A,5
1aj4,A,CA,A,1
1aj4,A,CA,A,2
1aj4,A,CA,A,3
1ajb,A,ZN,A,1
1ajb,A,ZN,A,2
1ajb,A,MG,A,1
1ajb,B,ZN,B,1
1ajb,B,ZN,B,2
1ajb,B,MG,B,1
1ajc,A,ZN,A,1
1ajc,A,ZN,A,2
1ajc,A,MG,A,1
1ajc,B,ZN,B,1
1ajc,B,ZN,B,2
1ajc,B,MG,B,1
1ajd,A,ZN,A,1
1ajd,A,ZN,A,2
1ajd,A,MG,A,1
1ajd,B,ZN,B,1
1ajd,B,ZN,B,2
1ajd,B,MG,B,1
1ajj,A,CA,A,1
1ajk,A,CA,A,1
1ajk,B,CA,B,1
1ajn,B,CA,B,1
1ajo,A,CA,A,1
1ajo,B,CA,B,1
1ajp,B,CA,B,1
1ajq,B,CA,B,1
1ajy,A,ZN,A,1
1ajy,A,ZN,A,2
1ajy,B,ZN,B,1
1ajy,B,ZN,B,2
1ak0,A,ZN,A,1
1ak0,A,ZN,A,2
1ak0,A,ZN,A,3
1ak0,A,ZN,A,4
1ak9,A,CA,A,1
1ak9,A,CA,A,2
1akl,A,ZN,A,1
1akl,A,CA,A,1
1akl,A,CA,A,2
1akl,A,CA,A,3
1akl,A,CA,A,4
1akl,A,CA,A,5
1akl,A,CA,A,6
1akl,A,CA,A,7
1akl,A,CA,A,8
1aks,A,CA,A,1
1ala,A,CA,A,1
1ala,A,CA,A,2
1ala,A,CA,A,3
1alc,A,CA,A,1
1alh,A,ZN,A,1
1alh,B,ZN,B,1
1ali,A,ZN,A,1
1ali,A,ZN,A,2
1ali,A,MG,A,1
1ali,B,ZN,B,1
1ali,B,ZN,B,2
1ali,B,MG,B,1
1alj,A,ZN,A,1
1alj,A,MG,A,1
1alj,B,ZN,B,1
1alj,B,MG,B,1
1alk,A,ZN,A,1
1alk,A,ZN,A,2
1alk,A,MG,A,1
1alk,B,ZN,B,1
1alk,B,ZN,B,2
1alk,B,MG,B,1
1aln,A,ZN,A,1
1alv,A,CA,A,1
1alv,A,CA,A,2
1alv,A,CA,A,3
1alv,A,CA,A,4
1alv,B,CA,B,1
1alv,B,CA,B,2
1alv,B,CA,B,3
1alv,B,CA,B,4
1alw,A,CA,A,1
1alw,A,CA,A,2
1alw,A,CA,A,3
1alw,A,CA,A,4
1alw,B,CA,B,1
1alw,B,CA,B,2
1alw,B,CA,B,3
1alw,B,CA,B,4
1am4,D,MG,D,1
1am4,E,MG,E,1
1am4,F,MG,F,1
1am6,A,ZN,A,1
1amh,A,CA,A,1
1amh,B,CA,B,1
1amp,A,ZN,A,1
1amp,A,ZN,A,2
1amu,B,MG,B,1
1amy,A,CA,A,1
1amy,A,CA,A,2
1amy,A,CA,A,3
1an1,E,CA,E,1
1anb,A,CA,A,1
1anc,A,CA,A,1
1and,A,CU,A,1
1ani,A,ZN,A,1
1ani,A,ZN,A,2
1ani,A,ZN,A,3
1ani,B,ZN,B,1
1ani,B,ZN,B,2
1ani,B,ZN,B,3
1anj,A,ZN,A,1
1anj,A,ZN,A,2
1anj,A,ZN,A,3
1anj,B,ZN,B,1
1anj,B,ZN,B,2
1anj,B,ZN,B,3
1ann,A,CA,A,1
1ann,A,CA,A,2
1anv,A,ZN,A,1
1anv,A,ZN,A,2
1anw,A,CA,A,1
1anw,A,CA,A,2
1anw,B,CA,B,1
1anw,B,CA,B,2
1anx,A,CA,A,1
1anx,A,CA,A,2
1anx,A,CA,A,3
1anx,A,CA,A,4
1anx,B,CA,B,1
1anx,B,CA,B,2
1anx,B,CA,B,3
1anx,B,CA,B,4
1anx,C,CA,C,1
1anx,C,CA,C,2
1anx,C,CA,C,3
1anx,C,CA,C,4
1ao0,A,MG,A,1
1ao0,B,MG,B,1
1ao0,C,MG,C,1
1ao0,D,MG,D,1
1aor,A,FE,A,1
1aor,B,FE,A,1
1aox,A,MG,A,1
1aox,B,MG,B,1
1aoz,A,CU,A,1
1aoz,B,CU,B,1
1ap4,A,CA,A,1
1ap5,A,MN,A,1
1ap5,B,MN,B,1
1ap6,A,MN,A,1
1ap6,B,MN,B,1
1aq2,A,MN,A,1
1aq8,A,CU,A,1
1aq8,A,CU,A,2
1aq8,B,CU,B,1
1aq8,B,CU,B,2
1aq8,C,CU,C,1
1aq8,C,CU,C,2
1aqf,A,MG,A,1
1aqf,B,MG,B,1
1aqf,C,MG,C,1
1aqf,D,MG,D,1
1aqf,F,MG,F,1
1aqf,G,MG,G,1
1aqf,H,MG,H,1
1aqh,A,CA,A,1
1aqm,A,CA,A,1
1aqn,A,CA,A,1
1aqn,A,CA,A,2
1aqp,A,CU,A,1
1aqp,A,CU,A,2
1ar1,A,CU,A,1
1ar1,A,MG,A,1
1ar1,A,CA,A,1
1ar1,B,CU,B,1
1ar1,B,CU,B,2
1ar4,A,MN,A,1
1ar4,B,MN,B,1
1ar5,A,FE,A,1
1ar5,B,FE,B,1
1arp,A,CA,A,1
1arp,A,CA,A,2
1aru,A,CA,A,1
1aru,A,CA,A,2
1arv,A,CA,A,1
1arv,A,CA,A,2
1arw,A,CA,A,1
1arw,A,CA,A,2
1arx,A,CA,A,1
1arx,A,CA,A,2
1ary,A,CA,A,1
1ary,A,CA,A,2
1as0,A,MG,A,1
1as6,A,CU,A,1
1as6,A,CU,A,2
1as6,B,CU,B,1
1as6,B,CU,B,2
1as6,C,CU,C,1
1as6,C,CU,C,2
1as7,A,CU,A,1
1as7,A,CU,A,2
1as7,B,CU,B,1
1as7,B,CU,B,2
1as7,C,CU,C,1
1as7,C,CU,C,2
1as8,A,CU,A,1
1as8,A,CU,A,2
1as8,B,CU,B,1
1as8,B,CU,B,2
1as8,C,CU,C,1
1as8,C,CU,C,2
1aso,A,CU,A,1
1aso,A,CU,A,2
1aso,A,CU,A,3
1aso,A,CU,A,4
1aso,B,CU,B,1
1aso,B,CU,B,2
1aso,B,CU,B,3
1aso,B,CU,B,4
1asp,A,CU,A,1
1asp,A,CU,A,2
1asp,A,CU,A,3
1asp,A,CU,A,4
1asp,B,CU,B,1
1asp,B,CU,B,2
1asp,B,CU,B,3
1asp,B,CU,B,4
1asq,A,CU,A,1
1asq,A,CU,A,2
1asq,A,CU,A,3
1asq,A,CU,A,4
1asq,B,CU,B,1
1asq,B,CU,B,2
1asq,B,CU,B,3
1asq,B,CU,B,4
1ast,A,ZN,A,1
1at1,B,ZN,B,1
1at1,D,ZN,D,1
1atj,A,CA,A,1
1atj,A,CA,A,2
1atj,B,CA,B,1
1atj,B,CA,B,2
1atj,C,CA,C,1
1atj,C,CA,C,2
1atj,D,CA,D,1
1atj,D,CA,D,2
1atj,E,CA,E,1
1atj,E,CA,E,2
1atj,F,CA,F,1
1atj,F,CA,F,2
1atl,A,ZN,A,1
1atl,A,CA,A,1
1atl,B,ZN,B,1
1atl,B,CA,B,1
1atn,D,CA,D,1
1atn,D,CA,D,2
1atn,D,CA,D,3
1atp,E,MN,E,1
1au1,B,ZN,B,1
1au9,A,CA,A,1
1au9,A,CA,A,2
1aui,A,ZN,A,1
1aui,A,FE,A,1
1aui,B,CA,B,1
1aui,B,CA,B,2
1aui,B,CA,B,3
1aui,B,CA,B,4
1auk,A,MG,A,1
1aus,L,MG,L,1
1aus,M,MG,M,1
1aus,N,MG,N,1
1aus,O,MG,O,1
1aux,A,CA,A,1
1aux,B,CA,B,1
1av4,A,CU,A,1
1ava,A,CA,A,1
1ava,A,CA,A,2
1ava,A,CA,A,3
1ava,B,CA,B,1
1ava,B,CA,B,2
1ava,B,CA,B,3
1avc,A,CA,A,1
1avc,A,CA,A,2
1avc,A,CA,A,3
1avc,A,CA,A,4
1avc,A,CA,A,5
1avc,A,CA,A,6
1avh,A,CA,A,1
1avh,A,CA,A,2
1avh,A,CA,A,3
1avh,B,CA,B,1
1avh,B,CA,B,2
1avl,A,CU,A,1
1avm,A,FE,A,1
1avm,B,FE,B,1
1avn,A,ZN,A,1
1avr,A,CA,A,1
1avr,A,CA,A,2
1avr,A,CA,A,3
1avr,A,CA,A,4
1avr,A,CA,A,5
1avs,A,CA,A,1
1avs,A,CA,A,2
1avs,B,CA,B,1
1avs,B,CA,B,2
1avw,A,CA,A,1
1avx,A,CA,A,1
1aw5,A,ZN,A,1
1awb,A,CA,A,1
1awb,A,CA,A,2
1awb,B,CA,B,1
1awb,B,CA,B,2
1ax0,A,MN,A,1
1ax0,A,CA,A,1
1ax1,A,MN,A,1
1ax1,A,CA,A,1
1ax2,A,MN,A,1
1ax2,A,CA,A,1
1axe,A,ZN,A,1
1axe,A,ZN,A,2
1axe,B,ZN,B,1
1axe,B,ZN,B,2
1axg,A,ZN,A,1
1axg,A,ZN,A,2
1axg,B,ZN,B,1
1axg,B,ZN,B,2
1axg,C,ZN,C,1
1axg,C,ZN,C,2
1axg,D,ZN,D,1
1axg,D,ZN,D,2
1axk,A,CA,A,1
1axk,B,CA,B,1
1axn,A,CA,A,1
1axn,A,CA,A,2
1axn,A,CA,A,3
1axn,A,CA,A,4
1axn,A,CA,A,5
1axy,A,MN,A,1
1axy,A,CA,A,1
1axz,A,MN,A,1
1axz,A,CA,A,1
1ay0,A,CA,A,1
1ay0,B,CA,B,1
1aye,A,ZN,A,1
1ayk,A,ZN,A,1
1ayk,A,ZN,A,2
1ayk,A,CA,A,1
1ayo,B,CA,B,1
1ayp,A,CA,A,1
1ayp,A,CA,A,2
1ayp,B,CA,B,1
1ayp,B,CA,B,2
1ayp,C,CA,C,1
1ayp,C,CA,C,2
1ayp,D,CA,D,1
1ayp,D,CA,D,2
1ayp,E,CA,E,1
1ayp,E,CA,E,2
1ayp,F,CA,F,1
1ayp,F,CA,F,2
1az0,A,CA,A,1
1az0,B,CA,B,1
1azb,A,CU,A,1
1azb,B,CU,B,1
1azc,A,CU,A,1
1azc,B,CU,B,1
1azd,A,CA,A,1
1azd,A,MN,A,1
1azd,B,CA,B,1
1azd,B,MN,B,1
1azd,C,CA,C,1
1azd,C,MN,C,1
1azd,D,CA,D,1
1azd,D,MN,D,1
1azm,A,ZN,A,1
1azn,A,CU,A,1
1azn,B,CU,B,1
1azn,C,CU,C,1
1azn,D,CU,D,1
1azr,A,CU,A,1
1azr,B,CU,B,1
1azr,C,CU,C,1
1azr,D,CU,D,1
1azs,C,MG,C,1
1azt,A,MG,A,1
1azt,B,MG,B,1
1azu,A,CU,A,1
1azv,A,CU,A,1
1azv,A,ZN,A,1
1azv,B,CU,B,1
1azv,B,ZN,B,1
1b06,A,FE,A,1
1b06,B,FE,B,1
1b06,C,FE,C,1
1b06,D,FE,D,1
1b06,E,FE,E,1
1b06,F,FE,F,1
1b08,A,CA,A,1
1b08,A,CA,A,2
1b08,A,CA,A,3
1b08,B,CA,B,1
1b08,B,CA,B,2
1b08,B,CA,B,3
1b08,C,CA,C,1
1b08,C,CA,C,2
1b08,C,CA,C,3
1b09,A,CA,A,1
1b09,A,CA,A,2
1b09,B,CA,B,1
1b09,B,CA,B,2
1b09,C,CA,C,1
1b09,C,CA,C,2
1b09,D,CA,D,1
1b09,D,CA,D,2
1b09,E,CA,E,1
1b09,E,CA,E,2
1b0e,A,CA,A,1
1b0i,A,CA,A,1
1b0l,A,FE,A,1
1b0l,A,FE,A,2
1b0n,A,ZN,A,1
1b0n,A,ZN,A,2
1b0n,A,ZN,A,3
1b0n,B,ZN,A,1
1b0p,A,MG,A,1
1b0p,A,CA,A,1
1b0p,B,MG,B,1
1b0p,B,CA,B,1
1b13,A,FE,A,1
1b1b,A,ZN,A,1
1b1b,A,ZN,A,2
1b1g,A,CA,A,1
1b1g,A,CA,A,2
1b1x,A,FE,A,1
1b1x,A,FE,A,2
1b23,P,MG,P,1
1b2j,A,FE,A,1
1b2l,A,CA,A,1
1b2o,A,FE,A,1
1b2o,B,FE,B,1
1b2y,A,CA,A,1
1b2z,C,ZN,C,1
1b38,A,MG,A,1
1b39,A,MG,A,1
1b3d,A,ZN,A,1
1b3d,A,ZN,A,2
1b3d,A,CA,A,1
1b3d,A,CA,A,2
1b3d,A,CA,A,3
1b3d,B,ZN,B,1
1b3d,B,ZN,B,2
1b3d,B,CA,B,1
1b3d,B,CA,B,2
1b3d,B,CA,B,3
1b3e,A,FE,A,1
1b47,A,CA,A,1
1b47,B,CA,B,1
1b47,C,CA,C,1
1b4e,A,ZN,A,1
1b4e,A,ZN,A,2
1b4l,A,CU,A,1
1b4l,A,ZN,A,1
1b4n,A,CA,A,1
1b4n,B,CA,B,1
1b4n,C,CA,C,1
1b4n,D,CA,D,1
1b4t,A,CU,A,1
1b4t,A,ZN,A,1
1b4u,B,FE,B,1
1b4u,D,FE,D,1
1b55,A,ZN,A,1
1b55,B,ZN,B,1
1b57,A,ZN,A,1
1b57,A,ZN,A,2
1b57,A,ZN,A,3
1b57,B,ZN,B,1
1b57,B,ZN,B,2
1b57,B,ZN,B,3
1b59,A,CO,A,1
1b59,A,CO,A,2
1b62,A,MG,A,1
1b66,A,ZN,A,1
1b66,B,ZN,B,1
1b6a,A,CO,A,1
1b6a,A,CO,A,2
1b6s,A,MG,A,1
1b6s,B,MG,B,1
1b6s,C,MG,C,1
1b6s,D,MG,D,1
1b6z,A,ZN,A,1
1b6z,B,ZN,B,1
1b71,A,FE,A,1
1b71,A,FE,A,2
1b71,A,ZN,A,1
1b7t,A,MG,A,1
1b7t,Y,MG,Y,1
1b7t,Z,CA,Z,1
1b7z,A,FE,A,1
1b7z,A,FE,A,2
1b80,A,CA,A,1
1b80,A,CA,A,2
1b80,B,CA,B,1
1b80,B,CA,B,2
1b82,A,CA,A,1
1b82,A,CA,A,2
1b82,B,CA,B,1
1b82,B,CA,B,2
1b85,A,CA,A,1
1b85,A,CA,A,2
1b85,B,CA,B,1
1b85,B,CA,B,2
1b8a,A,MN,A,1
1b8a,B,MN,B,1
1b8c,A,MG,A,1
1b8c,B,MG,B,1
1b8j,A,ZN,A,1
1b8j,A,ZN,A,2
1b8j,A,MG,A,1
1b8j,B,ZN,B,1
1b8j,B,ZN,B,2
1b8j,B,MG,B,1
1b8l,A,CA,A,1
1b8r,A,CA,A,1
1b8r,A,CA,A,2
1b8t,A,ZN,A,1
1b8t,A,ZN,A,2
1b8t,A,ZN,A,3
1b8t,A,ZN,A,4
1b8y,A,ZN,A,1
1b8y,A,ZN,A,2
1b8y,A,CA,A,1
1b8y,A,CA,A,2
1b8y,A,CA,A,3
1b90,A,CA,A,1
1b94,A,CA,A,1
1b94,B,CA,B,1
1b9a,A,CA,A,1
1b9a,A,CA,A,2
1b9o,A,CA,A,1
1b9s,A,CA,A,1
1b9t,A,CA,A,1
1b9v,A,CA,A,1
1b9z,A,CA,A,1
1ba9,A,ZN,A,1
1bag,A,CA,A,1
1bag,A,CA,A,2
1bag,A,CA,A,3
1bav,A,ZN,A,1
1bav,B,ZN,B,1
1bav,C,ZN,C,1
1bav,D,ZN,D,1
1baw,A,CU,A,1
1baw,A,ZN,A,1
1baw,B,CU,B,1
1baw,B,ZN,B,1
1baw,C,CU,C,1
1baw,C,ZN,C,1
1bbo,A,ZN,A,1
1bbo,A,ZN,A,2
1bc0,A,CA,A,1
1bc0,A,CA,A,2
1bc0,A,CA,A,3
1bc0,A,CA,A,4
1bc0,A,CA,A,5
1bc1,A,CA,A,1
1bc1,A,CA,A,2
1bc1,A,CA,A,3
1bc1,A,CA,A,4
1bc1,A,CA,A,5
1bc2,A,ZN,A,1
1bc2,A,ZN,A,2
1bc2,B,ZN,B,1
1bc2,B,ZN,B,2
1bc3,A,CA,A,1
1bc3,A,CA,A,2
1bc3,A,CA,A,3
1bc3,A,CA,A,4
1bc3,A,CA,A,5
1bcd,A,ZN,A,1
1bcf,A,MN,A,1
1bcf,A,MN,A,2
1bcf,B,MN,B,1
1bcf,B,MN,B,2
1bcf,C,MN,C,1
1bcf,C,MN,C,2
1bcf,D,MN,D,1
1bcf,D,MN,D,2
1bcf,E,MN,E,1
1bcf,E,MN,E,2
1bcf,F,MN,F,1
1bcf,F,MN,F,2
1bcf,G,MN,G,1
1bcf,G,MN,G,2
1bcf,H,MN,H,1
1bcf,H,MN,H,2
1bcf,I,MN,I,1
1bcf,I,MN,I,2
1bcf,J,MN,J,1
1bcf,J,MN,J,2
1bcf,K,MN,K,1
1bcf,K,MN,K,2
1bcf,L,MN,L,1
1bcf,L,MN,L,2
1bch,1,CA,1,1
1bch,1,CA,1,2
1bch,2,CA,2,1
1bch,2,CA,2,2
1bch,2,CA,2,3
1bch,3,CA,3,1
1bch,3,CA,3,2
1bci,A,CA,A,1
1bci,A,CA,A,2
1bcj,1,CA,1,1
1bcj,1,CA,1,2
1bcj,1,CA,1,3
1bcj,2,CA,2,1
1bcj,2,CA,2,2
1bcj,2,CA,2,3
1bcj,3,CA,3,1
1bcj,3,CA,3,2
1bcj,3,CA,3,3
1bcw,A,CA,A,1
1bcw,A,CA,A,2
1bcw,A,CA,A,3
1bcw,A,CA,A,4
1bcw,A,CA,A,5
1bcy,A,CA,A,1
1bcy,A,CA,A,2
1bcy,A,CA,A,3
1bcy,A,CA,A,4
1bcy,A,CA,A,5
1bcz,A,CA,A,1
1bcz,A,CA,A,2
1bcz,A,CA,A,3
1bcz,A,CA,A,4
1bcz,A,CA,A,5
1be6,A,CA,A,1
1be7,A,FE,A,1
1be8,A,CA,A,1
1bex,A,CU,A,1
1bex,A,CU,A,2
1bex,B,CU,B,1
1bex,B,CU,B,2
1bf2,A,CA,A,1
