PDB ID,n,N
1ml9,1.0,1
1mmp,2.0,1
1mms,4.0,1
1mnd,1.0,1
1mng,2.0,4
1mow,12.0,1
1mpm,3.0,3
1mpx,4.0,4
1mq0,2.0,4
1mqw,1.0,2
1mr1,4.0,2
1mrp,1.0,2
1mu5,1.0,1
1mus,3.0,2
1muw,1.0,1
1mvo,1.0,2
1mvq,1.0,4
1mwq,2.0,2
1mxa,1.0,2
1mxd,1.0,1
1my6,2.0,2
1mzb,1.0,2
1n04,1.0,1
1n0w,4.0,2
1n1h,2.0,1
1n22,2.0,2
1n2c,8.0,8
1n47,4.0,4
1n51,2.0,2
1n67,1.0,1
1n6k,1.0,1
1n70,1.0,1
1n73,10.0,6
1n7d,1.0,1
1n7u,1.0,2
1n7v,1.0,2
1n8f,4.0,2
1n9z,1.0,1
1nbc,2.0,2
1nbw,4.0,4
1nc7,4.0,4
1ncj,1.0,1
1nd3,4.0,3
1nd4,2.0,2
1nds,3.0,1
1nek,4.0,4
1nen,4.0,8
1nf2,3.0,1
1nf6,16.0,2
1nfg,4.0,4
1nft,1.0,1
1ng0,3.0,3
1ng9,4.0,2
1ngs,2.0,2
1nhi,1.0,2
1nj3,1.0,1
1nj6,1.0,2
1njf,4.0,1
1nkg,1.0,2
1nkq,6.0,2
1nl0,3.0,3
1nl2,1.0,1
1nlq,5.0,5
1nlt,2.0,1
1nlu,3.0,1
1nlx,14.0,2
1nmo,6.0,6
1nn7,1.0,4
1no5,2.0,1
1nol,1.0,1
1noy,3.0,2
1npc,1.0,1
1nps,1.0,1
1nr5,2.0,1
1nr9,4.0,2
1nrj,2.0,2
1nrw,1.0,1
1nu4,2.0,6
1nu5,1.0,8
1nub,2.0,1
1nud,2.0,1
1nui,2.0,1
1nul,2.0,4
1nv2,1.0,1
1nv7,2.0,2
1nvm,8.0,4
1nvt,2.0,2
1nvv,3.0,6
1nw1,2.0,2
1nw2,8.0,4
1nwp,2.0,2
1nx8,3.0,6
1nxd,4.0,1
1nyr,2.0,2
1nzi,2.0,2
1nzy,3.0,6
1o12,2.0,2
1o2d,2.0,1
1o3y,2.0,1
1o4t,2.0,2
1o4z,4.0,2
1o5k,2.0,4
1o5q,4.0,4
1o6k,2.0,1
1o6l,2.0,1
1o7d,5.0,5
1o7l,4.0,2
1o7q,2.0,1
1o92,2.0,4
1o98,1.0,1
1oah,2.0,2
1ob2,2.0,1
1ob5,6.0,3
1obc,1.0,1
1obg,1.0,1
1ocy,1.0,3
1od3,1.0,1
1odb,6.0,2
1odg,3.0,1
1odh,3.0,1
1of4,1.0,1
1of8,2.0,2
1ofl,1.0,1
1og0,8.0,4
1oh9,1.0,2
1ohf,4.0,4
1ohz,2.0,6
1oi0,4.0,1
1oix,1.0,1
1oj7,4.0,2
1ojr,1.0,4
1olp,4.0,1
1omj,1.0,1
1on8,2.0,2
1ons,1.0,2
1opo,3.0,3
1oq4,6.0,2
1oqj,2.0,1
1oqu,4.0,2
1os2,6.0,3
1osg,12.0,3
1oss,1.0,1
1ou8,4.0,2
1ou9,3.0,2
1oup,7.0,1
1ov8,4.0,1
1ova,4.0,2
1ovm,4.0,4
1ovv,6.0,6
1ovx,2.0,2
1oxn,6.0,2
1oxq,6.0,5
1oxv,3.0,1
1oxy,1.0,1
1oy0,5.0,10
1oyv,3.0,3
1oyy,1.0,1
1oz6,1.0,1
1ozf,2.0,4
1p0c,2.0,2
1p0s,3.0,6
1p18,2.0,2
1p3d,2.0,1
1p3h,14.0,7
1p47,4.0,2
1p49,1.0,1
1p4n,2.0,1
1p5w,2.0,6
1p6d,1.0,1
1p6o,2.0,2
1p7b,2.0,4
1p7t,2.0,1
1p8j,16.0,4
1p91,2.0,2
1p9b,1.0,2
1p9e,2.0,2
1p9w,1.0,1
1pa2,1.0,1
1paa,1.0,1
1pca,1.0,1
1pcs,1.0,2
1pcx,2.0,1
1peg,4.0,1
1pex,1.0,1
1pey,3.0,1
1pfk,2.0,4
1pft,1.0,1
1pg6,1.0,1
1pgu,2.0,2
1pi6,1.0,1
1piu,2.0,2
1piw,2.0,2
1pj4,4.0,4
1pj9,1.0,1
1pji,3.0,1
1pjx,1.0,1
1pk0,6.0,6
1pkg,2.0,1
1pkn,1.0,1
1pl6,4.0,4
1plb,1.0,1
1plc,1.0,1
1plj,1.0,2
1plk,1.0,2
1pmh,1.0,1
1pmy,1.0,1
1pob,2.0,2
1poc,1.0,2
1poj,2.0,1
1pok,2.0,2
1pq3,6.0,3
1prc,4.0,4
1ps6,2.0,2
1psh,3.0,3
1ptr,1.0,2
1pv8,2.0,6
1pv9,2.0,2
1pvb,1.0,1
1pvw,3.0,6
1pvy,2.0,2
1pwp,2.0,1
1pww,4.0,1
1px2,2.0,4
1py0,1.0,1
1py2,4.0,1
1pyi,4.0,2
1pyt,4.0,4
1pz8,4.0,1
1pzs,1.0,2
1pzw,1.0,2
1q09,1.0,2
1q0a,2.0,1
1q0c,4.0,4
1q0e,2.0,1
1q0k,12.0,6
1q0p,1.0,1
1q17,3.0,3
1q19,4.0,4
1q1p,1.0,1
1q23,12.0,3
1q2l,1.0,1
1q2r,6.0,1
1q39,1.0,1
1q3a,3.0,2
1q3i,1.0,1
1q3q,4.0,8
1q3v,10.0,4
1q4q,20.0,1
1q4r,1.0,2
1q5a,2.0,2
1q5b,3.0,3
1q5c,4.0,4
1q5y,4.0,4
1q6r,2.0,2
1q74,4.0,1
1q7b,4.0,4
1q7h,1.0,1
1q7l,4.0,2
1q8h,1.0,2
1q8y,2.0,1
1q91,1.0,1
1q9l,4.0,4
1q9s,1.0,1
1q9u,2.0,2
1qb8,1.0,2
1qbk,2.0,2
1qc5,2.0,2
1qd6,4.0,1
1qdb,3.0,2
1qe3,1.0,1
1qez,6.0,6
1qf6,2.0,1
1qfc,1.0,1
1qge,2.0,2
1qgj,2.0,1
1qgq,1.0,1
1qh3,2.0,2
1qh4,4.0,4
1qha,2.0,2
1qhd,1.0,3
1qhp,1.0,1
1qhq,1.0,4
1qhy,1.0,4
1qi0,1.0,2
1qi4,1.0,1
1qji,1.0,1
1ql6,1.0,1
1qlb,6.0,6
1qle,6.0,6
1qls,2.0,2
1qmd,2.0,1
1qmg,4.0,2
1qmo,8.0,8
1qmp,4.0,1
1qmu,1.0,3
1qmz,6.0,4
1qni,6.0,2
1qnn,4.0,4
1qoo,4.0,4
1qp9,8.0,2
1qpa,2.0,2
1qpb,2.0,4
1qpr,6.0,2
1qps,3.0,2
1qr0,1.0,1
1qs0,2.0,4
1qu0,4.0,2
1qua,1.0,1
1qum,4.0,1
1qvn,4.0,2
1qwr,2.0,1
1qwy,1.0,1
1qx2,2.0,1
1qxz,1.0,1
1qyp,1.0,1
1r0n,4.0,2
1r0o,4.0,2
1r0r,2.0,2
1r17,4.0,1
1r1v,2.0,2
1r22,2.0,2
1r2f,2.0,2
1r2m,2.0,1
1r37,2.0,4
1r44,6.0,1
1r4a,8.0,8
1r4i,4.0,2
1r4n,12.0,3
1r4v,1.0,1
1r55,1.0,1
1r5a,1.0,2
1r5t,4.0,4
1r61,2.0,2
1r64,4.0,1
1r67,1.0,1
1r6b,1.0,1
1r6o,4.0,4
1r6v,1.0,1
1r6w,1.0,2
1r6x,1.0,1
1r85,1.0,1
1r8c,1.0,2
1r8q,4.0,2
1r9c,2.0,2
1r9j,2.0,2
1r9p,1.0,1
1rcw,3.0,2
1rdf,6.0,4
1rdm,2.0,2
1rdr,1.0,1
1rfu,8.0,2
1rgi,2.0,2
1rif,2.0,1
1rit,4.0,4
1rj6,2.0,1
1rjw,4.0,4
1rk2,4.0,2
1rk8,3.0,3
1rkq,2.0,1
1rkr,4.0,1
1rkv,2.0,2
1rky,1.0,2
1rl4,2.0,1
1rlm,4.0,1
1rlw,1.0,1
1rm8,1.0,1
1rmd,1.0,2
1rmt,4.0,4
1ro0,1.0,1
1ro5,1.0,1
1rp0,2.0,8
1rp1,1.0,1
1rp9,1.0,1
1rq5,1.0,1
1rqc,10.0,1
1rqf,14.0,2
1rqg,1.0,2
1rqi,2.0,2
1rqj,2.0,1
1rqq,6.0,4
1rr2,1.0,2
1rro,1.0,1
1rrp,4.0,8
1rs0,1.0,1
1rtg,1.0,1
1rtm,3.0,3
1ru1,2.0,1
1ru4,1.0,1
1ruq,2.0,2
1rvg,4.0,2
1rvk,1.0,1
1rxr,1.0,1
1rxs,30.0,6
1ryq,1.0,1
1rz5,1.0,1
1rzr,12.0,4
1s0u,1.0,1
1s16,2.0,1
1s1d,2.0,1
1s1e,1.0,1
1s1g,2.0,4
1s1q,4.0,2
1s2n,2.0,1
1s2z,1.0,1
1s3n,2.0,1
1s3p,1.0,1
1s4c,4.0,2
1s4e,9.0,1
1s4p,2.0,2
1s5j,1.0,1
1s64,12.0,2
1s6c,2.0,2
1s70,2.0,2
1s76,4.0,1
1s7g,5.0,5
1s82,1.0,1
1s8e,2.0,1
1s95,2.0,2
1s9i,2.0,2
1sbe,1.0,4
1sbr,2.0,2
1scf,4.0,2
1sch,2.0,1
1sdd,2.0,2
1sdw,1.0,1
1se0,2.0,1
1sed,3.0,3
1sfk,8.0,8
1sgf,6.0,6
1sgj,3.0,3
1shk,2.0,1
1shn,2.0,2
1sht,1.0,1
1shz,4.0,2
1si0,1.0,1
1sk6,6.0,2
1sl6,6.0,1
1sl7,1.0,1
1sl8,1.0,1
1slh,3.0,6
1slm,1.0,2
1slv,2.0,4
1smp,2.0,2
1smv,3.0,3
1smy,12.0,6
1so2,4.0,2
1spj,1.0,1
1sqi,2.0,2
1sra,1.0,1
1srd,4.0,4
1srr,3.0,2
1ssq,2.0,6
1su0,1.0,1
1su1,4.0,4
1su2,2.0,2
1su3,2.0,1
1sum,1.0,1
1sus,4.0,2
1svl,3.0,6
1svw,2.0,1
1svy,1.0,1
1sw1,2.0,1
1sx5,6.0,2
1sxi,12.0,2
1sxj,8.0,8
1sxz,2.0,2
1syy,1.0,1
1szb,2.0,2
1szo,12.0,3
1t0a,3.0,3
1t0b,8.0,4
1t0f,4.0,2
1t0i,2.0,2
1t0s,3.0,6
1t1e,1.0,1
1t31,1.0,2
1t4k,4.0,4
1t4w,1.0,1
1t57,3.0,6
1t5d,1.0,2
1t5g,3.0,3
1t5j,1.0,1
1t61,6.0,6
1t6b,2.0,2
1t6c,1.0,1
1t6m,2.0,2
1t71,1.0,1
1t91,4.0,1
1t92,2.0,2
1t9a,2.0,8
1t9h,1.0,1
1ta9,2.0,8
1tad,3.0,1
1taf,2.0,4
1tau,3.0,1
1tco,3.0,3
1tdq,2.0,2
1te2,2.0,2
1tef,2.0,1
1tf6,6.0,1
1tfd,1.0,1
1tgm,1.0,1
1thj,3.0,6
1thm,1.0,1
1til,6.0,4
1tj5,1.0,1
1tjl,10.0,1
1tk2,2.0,1
1tkh,1.0,1
1tkk,8.0,8
1tlg,2.0,2
1tlq,1.0,4
1tmx,2.0,2
1tn3,1.0,1
1to4,4.0,2
1to5,4.0,4
1toa,2.0,1
1ton,1.0,1
1top,1.0,1
1tqx,2.0,1
1tqy,8.0,2
1tt4,2.0,2
1tt5,6.0,2
1ttx,1.0,1
